name,country_name,region_name,star_label,location,cuisine,price,lat,lng,detail_url
뛰뚜아멍,한국,서울,1스타,,,,37.54969,127.0666,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tutoiement
소울,한국,서울,1스타,,,,37.54533,126.98443,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soul-dining
라망 시크레,한국,서울,1스타,,,,37.55983,126.97949,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/l-amant-secret
기가스,한국,서울,1스타,,,,37.55696,126.97809,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gigas
온지음,한국,서울,1스타,,,,37.58048,126.97345,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onjium
레스토랑 주은,한국,서울,1스타,,,,37.57276,126.96991,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-jueun
유 유안,한국,서울,1스타,,,,37.57049,126.97545,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yu-yuan
송헌집,한국,서울,1스타,,,,35.15654,129.12146,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,1스타,,,,37.56181,127.00053,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,1스타,,,,37.52628,127.03704,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
옥돌현옥,한국,서울,1스타,,,,37.50153,127.12408,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
임병주 산동 칼국수,한국,서울,빕구르망,,,,37.48458,127.02988,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/limbyungjoo-sandong-kalguksu
곰탕랩,한국,서울,빕구르망,,,,37.50859,127.05971,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gomtang-lab
3대 삼계장인,한국,서울,빕구르망,,,,37.49135,127.01155,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/3rd-samgyetang
면서울,한국,서울,빕구르망,,,,37.52416,127.03906,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/myeon-seoul
꿉당,한국,서울,빕구르망,,,,37.5166307,127.0188926,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ggupdang
게방식당,한국,서울,빕구르망,,,,37.51727,127.03942,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gebang-sikdang
스바루,한국,서울,빕구르망,,,,37.49234,126.98611,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/subaru
만두집,한국,서울,빕구르망,,,,37.52785,127.03898,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mandujip
양양 메밀 막국수,한국,서울,빕구르망,,,,37.49247,126.98826,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yangyang-memil-makguksu
맷돌,한국,서울,빕구르망,,,,37.53808,127.05065,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mattdol
계월,한국,서울,빕구르망,,,,37.53952,127.04762,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kyewol-gomtang
옥돌현옥,한국,서울,빕구르망,,,,37.50153,127.12408,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok
정면,한국,서울,빕구르망,,,,37.54551,127.06866,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jeongmyeon
능동미나리,한국,서울,빕구르망,,,,37.53008,126.97078,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/neungdong-minari
유한,한국,서울,빕구르망,,,,37.53482,127.00108,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/youhan
오일제,한국,서울,빕구르망,,,,37.53254,126.97473,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/oilje
알트에이,한국,서울,빕구르망,,,,37.53245,126.99446,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/alt-a
금돼지식당,한국,서울,빕구르망,,,,37.55705,127.01165,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/geumdwaeji-sikdang
고사리 익스프레스,한국,서울,빕구르망,,,,37.56626,127.02001,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gosari-express
필동면옥,한국,서울,빕구르망,,,,37.56035,126.99689,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pildong-myeonok
소바키리 스즈,한국,서울,빕구르망,,,,37.55949,127.01243,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sobakeeri-suzu
서령,한국,서울,빕구르망,,,,37.55857,126.97546,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/seoryung
우래옥,한국,서울,빕구르망,,,,37.56815,126.99866,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/woo-lae-oak
베이스 이즈 나이스,한국,서울,빕구르망,,,,37.53958,126.94908,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/base-is-nice
미진,한국,서울,빕구르망,,,,37.5708,126.97985,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mijin
유림면,한국,서울,빕구르망,,,,37.56419,126.9761,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yurimmyeon
마포옥,한국,서울,빕구르망,,,,37.53983,126.94332,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mapo-ok
정인면옥,한국,서울,빕구르망,,,,37.5307,126.92167,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jungin-myeonok
안암,한국,서울,빕구르망,,,,37.57939,126.98446,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/anam
용금옥,한국,서울,빕구르망,,,,37.57972,126.97088,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yonggeumok
황생가 칼국수,한국,서울,빕구르망,,,,37.58003,126.98065,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwangsaengga-kalguksu
황금콩밭,한국,서울,빕구르망,,,,37.5509,126.9567,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwanggeum-kongbat
대성집,한국,서울,빕구르망,,,,37.57269,126.96091,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/daesungjip
할매집,한국,서울,빕구르망,,,,37.5755506,126.9715631,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/halmaejip
개성만두 궁,한국,서울,빕구르망,,,,37.57423,126.98539,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gaeseong-mandu-koong
호라파,한국,서울,빕구르망,,,,37.57938,126.9711,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/horapa
화해당,한국,서울,빕구르망,,,,37.52689,126.91706,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hwa-hae-dang
니시무라멘,한국,서울,빕구르망,,,,37.56337,126.92526,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/nishimuramen
합정옥,한국,서울,빕구르망,,,,37.54944,126.91037,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hapjeongok
미필담,한국,서울,빕구르망,,,,37.54658,126.91419,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mipildam
사루카메,한국,서울,빕구르망,,,,37.56103,126.92267,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sarukame
서교난면방,한국,서울,빕구르망,,,,37.55359,126.91231,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/seokyonanmyunbang
옥동식,한국,서울,빕구르망,,,,37.55261,126.91449,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdongsik
안덕,한국,서울,빕구르망,,,,37.58143,126.96969,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/andeok
교다이야,한국,서울,빕구르망,,,,37.54681,126.91317,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kyodaiya
역전회관,한국,서울,빕구르망,,,,37.566,126.947,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yukjeon-hoekwan
담택,한국,서울,빕구르망,,,,37.55448,126.91512,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/damtaek
진진,한국,서울,빕구르망,,,,37.55777,126.91324,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jin-jin
송헌집,한국,서울,빕구르망,,,,35.15654,129.12146,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/songheonjip
묵정,한국,서울,빕구르망,,,,37.56181,127.00053,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung
소넷,한국,서울,빕구르망,,,,37.52628,127.03704,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886
르도헤,한국,부산,1스타,,,,35.15543,129.14665,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/le-dorer
모리,한국,부산,1스타,,,,35.163577,129.161301,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/mori
피오또,한국,부산,1스타,,,,35.16127,129.1833,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/fiotto
팔레트,한국,부산,1스타,,,,35.15659,129.17844,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/palate
슌사이 쿠보,한국,부산,빕구르망,,,,35.24088,129.01472,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/shunsai-kubo
평양집,한국,부산,빕구르망,,,,35.21213,129.00586,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/pyeongyangjip
정짓간,한국,부산,빕구르망,,,,35.09561,128.96248,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/jeongjitgan
코르 파스타바,한국,부산,빕구르망,,,,35.15264,129.06769,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/cor-pasta-bar
바오하우스,한국,부산,빕구르망,,,,35.15488,129.06335,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/bao-haus
야키토리 온정,한국,부산,빕구르망,,,,35.15866,129.06284,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/yakitori-onjung
백일평냉,한국,부산,빕구르망,,,,35.14855,129.11164,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/100-1-pyeongnaeng
한월관,한국,부산,빕구르망,,,,35.15469,129.11854,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/hanwolgwan
비비재,한국,부산,빕구르망,,,,35.14795,129.11142,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/bibijae
동경밥상,한국,부산,빕구르망,,,,35.14839,129.11386,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/tokyo-babsang
안목,한국,부산,빕구르망,,,,35.14492,129.11076,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/anmok
피리피리,한국,부산,빕구르망,,,,35.16379,129.11807,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/pili-pili
뫼밀집,한국,부산,빕구르망,,,,35.15663,129.14695,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/moemiljip
부다면옥,한국,부산,빕구르망,,,,35.16237,129.16298,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/buda-myeonoak
해목,한국,부산,빕구르망,,,,35.16174,129.15977,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/haemok
나가하마 만게츠,한국,부산,빕구르망,,,,35.16664,129.15748,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/nagahama-mangetsu
아르프,한국,부산,빕구르망,,,,35.09293,129.04258,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/arp
뉴러우멘관즈,한국,부산,빕구르망,,,,35.14029,129.10842,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/niurou-mian-guan-zi
합천국밥집,한국,부산,빕구르망,,,,35.11124,129.11127,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/hapcheon-gukbapjip
